availability,best_player_count,bgg_url,date,duration_min,id,max_players,min_age,min_players,name,price,url,weight
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/322589/zapotec,2022-06-25,75,322589,4,12,1,Zapotec,40.45,https://jugamosotra.com/es/juegos/7255-zapotec.html,2.83
En stock. Recíbelo en 24/48 horas,3,https://boardgamegeek.com/boardgame/231581/auztralia,2022-06-25,120,231581,4,13,1,Auztralia (Segunda Edición),62.95,https://jugamosotra.com/es/1-4-jugadores/7283-auztralia.html,2.93
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgame/284825/florenza-dice-game,2022-06-25,90,284825,4,12,1,FLORENZA DICE GAME,15.89,https://jugamosotra.com/es/juegos/7288-florenza-dice-game.html,2.87
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgame/358148/auztralia-big-z-box,2022-06-25,120,358148,5,13,1,Auztralia BIG BOX Expansión,62.95,https://jugamosotra.com/es/1-4-jugadores/7284-auztralia-big-box-expansion.html,0
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/40393/fits,2022-06-25,45,40393,4,8,1,Fits,24.95,https://jugamosotra.com/es/juegos/7359-fits.html,1.39
Agotado. Consultar disponibilidad,2,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-lion,2022-06-25,120,291457,4,14,1,Gloomhaven: Fauces del León,59.95,https://jugamosotra.com/es/juegos/7365-gloomhaven-fauces-del-leon.html,3.6
Agotado. Consultar disponibilidad,2,https://boardgamegeek.com/boardgame/304051/creature-comforts,2022-06-25,45,304051,5,8,1,Creature Comforts Deluxe,56.65,https://jugamosotra.com/es/juegos/7368-creature-comforts-deluxe.html,2.28
Agotado. Consultar disponibilidad,2,https://boardgamegeek.com/boardgame/304051/creature-comforts,2022-06-25,45,304051,5,8,1,Creature Comforts,44.95,https://jugamosotra.com/es/juegos/7367-creature-comforts.html,2.28
Agotado. Consultar disponibilidad,2,https://boardgamegeek.com/boardgame/342942/ark-nova,2022-06-25,150,342942,4,14,1,Ark Nova,58.45,https://jugamosotra.com/es/juegos/7622-ark-nova.html,3.71
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/192286/sol,2022-06-25,60,192286,8,10,2,Sol: Aventuras en la Isla del Sol,22.95,https://jugamosotra.com/es/juegos/7628-sol-aventuras-en-la-isla-del-sol.html,1.91
En stock. Recíbelo en 24/48 horas,8,https://boardgamegeek.com/boardgame/291008/fou-fou-fou,2022-06-25,15,291008,8,8,3,"Loco, Loco, Loco",11.95,https://jugamosotra.com/es/juegos/7630-loco-loco-loco.html,1.33
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgame/352485/take-seat,2022-06-25,30,352485,6,8,1,Take a Seat,21.1,https://jugamosotra.com/es/juegos/7642-take-a-seat.html,2
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgame/356033/libertalia-winds-galecrest,2022-06-25,60,356033,6,14,1,Libertalia: Vientos de Galecrest,49.45,https://jugamosotra.com/es/juegos/7644-libertalia-vientos-de-galecrest.html,2.13
En stock. Recíbelo en 24/48 horas,1,https://boardgamegeek.com/boardgame/257344/agricola-farmers-moor,2022-06-25,120,257344,4,12,1,Agricola Bosques y Cenegales,32.95,https://jugamosotra.com/es/juegos/7658-agricola-bosques-y-cenegales.html,3.86
En stock. Recíbelo en 24/48 horas,8,https://boardgamegeek.com/boardgame/295293/thing-boardgame,2022-06-25,90,295293,8,14,1,The Thing,58.45,https://jugamosotra.com/es/juegos/7663-the-thing.html,2.92
En stock. Recíbelo en 24/48 horas,7,https://boardgamegeek.com/boardgameexpansion/321016/thing-norwegian-outpost,2022-06-25,90,321016,8,14,1,The Thing: El Puesto Noruego,35.95,https://jugamosotra.com/es/juegos/7664-the-thing-el-puesto-noruego.html,2.5
En stock. Recíbelo en 24/48 horas,5,https://boardgamegeek.com/boardgameexpansion/304453/barrage-5-player-expansion,2022-06-25,120,304453,5,14,1,BARRAGE: 5º JUGADOR,26.05,https://jugamosotra.com/es/juegos/7667-barrage-5-jugador.html,4.33
En stock. Recíbelo en 24/48 horas,6,https://boardgamegeek.com/boardgame/280304/artbox,2022-06-25,40,280304,8,8,3,Artbox,20.95,https://jugamosotra.com/es/juegos/6936-artbox.html,1
En stock. Recíbelo en 24/48 horsa,2,https://boardgamegeek.com/boardgame/299255/vienna-connection,2022-06-25,180,299255,5,16,1,Detective: Conexión Viena,40.45,https://jugamosotra.com/es/juegos/6941-detective-conexion-viena.html,2
En stock. Recíbelo en 24/48 horas,4,https://boardgamegeek.com/boardgameexpansion/342189/lord-rings-journeys-middle-earth-spreading-war-exp,2022-06-25,120,342189,5,14,1,Viajes por la Tierra Media: Vientos de Guerra,89.95,https://jugamosotra.com/es/1-5-jugadores/6939-viajes-por-la-tierra-media-vientos-de-guerra.html,2.75
